staff_member,appt_date,appt_time,slot,units_sched_10min_per_unit,client_id,patient_id,staff_requested,reason_desc,breedname
L12,6/2/2022,9:40:00,58,2,8014,12765,12,Sick,Domestic Shorthair
16,6/2/2022,9:50:00,59,2,10653,17876,,Recheck,BERNESE MOUNTAIN DOG
4,6/2/2022,9:50:00,59,2,2625,4160,4,Preventative Care Exam,Boxer
6,6/2/2022,9:50:00,59,2,18087,25181,,Sick,"Cattle Dog, Australian Mix"
L12,6/2/2022,10:00:00,60,1,4496,17021,,Technician Appointment,Domestic Shorthair
16,6/2/2022,10:10:00,61,2,4250,28480,,New Pet,Retriever Mixed
4,6/2/2022,10:10:00,61,2,3535,3535-7,,Senior Exam,"Shepherd, German Mix"
6,6/2/2022,10:10:00,61,2,10843,18249,,Preventative Care Exam,Dalmatian
L12,6/2/2022,10:10:00,61,2,11677,19812,,Sick,"Shepherd, German"
TK,6/2/2022,10:10:00,61,1,2526,4006,,Technician Appointment,Domestic Shorthair
TK,6/2/2022,10:20:00,62,1,18616,18616-3,,Lab Work,Domestic Shorthair
16,6/2/2022,10:30:00,63,2,4121,19557,,Recheck,"Bulldog, English"
6,6/2/2022,10:30:00,63,2,18152,25211,,Sick,"Terrier, Jack Russell Mix"
L12,6/2/2022,10:30:00,63,2,22664,28443,,New Client,Chihuahua
16,6/2/2022,10:50:00,65,1,21920,28548,,Sick,Domestic Shorthair
4,6/2/2022,10:50:00,65,2,9731,16010,,Not Wellness,LABRADOR RETRIEVER
L12,6/2/2022,10:50:00,65,1,13786,23231,,Technician Appointment,Shepherd Mix
TK,6/2/2022,10:50:00,65,1,5144,5144-2,,TNT,"Retriever, Labrador"
L12,6/2/2022,11:00:00,66,2,21359,22180,,Sick,JACK RUSSELL TERRIER
4,6/2/2022,11:10:00,67,1,9868,16320,,Senior Exam,Poodle Mix
6,6/2/2022,11:10:00,67,2,20001,21746,,Sick,BASSET HOUND
4,6/2/2022,11:20:00,68,1,12909,21925,,Emergency,Shih Tzu Mix
L12,6/2/2022,11:20:00,68,2,21359,25436,,Sick,JACK RUSSELL TERRIER
6,6/2/2022,11:30:00,69,2,13475,22938,,Sick,GOLDEN RETRIEVER
6,6/2/2022,11:50:00,71,2,22093,27065,,Sick,Terrier Mix
L12,6/2/2022,11:50:00,71,2,10563,17677,12,Recheck,Boxer
19,6/2/2022,12:00:00,72,2,21823,26433,,Exotic Exam,"Gecko, Leopard"
L12,6/2/2022,12:10:00,73,2,12038,27210,,Sick,Bernadoodle- Bernese and Poodl
19,6/2/2022,12:20:00,74,2,21823,28388,,Exotic Exam,"Dragon, Bearded"
L12,6/2/2022,12:30:00,75,1,L5007,13511,,TNT,"Retriever, Golden Mix"
19,6/2/2022,12:40:00,76,1,895,25596,,Emergency,"Cattle Dog, Australian Mix"
L12,6/2/2022,12:40:00,76,2,L1698,RIDLEY,,Sick,GOLDEN RETRIEVER
19,6/2/2022,12:50:00,77,2,402,3049,,Recheck,BOSTON TERRIER
L12,6/2/2022,13:00:00,78,2,L7035,L5597,12,Sick,Chihuahua Mix
19,6/2/2022,13:10:00,79,2,6129,1679,,Recheck,Dachshund Mix
19,6/2/2022,13:30:00,81,2,6925,13498,,Sick,Goldendoodle
6,6/2/2022,13:30:00,81,2,19565,5844,,Preventative Care Exam,"Spaniel, Cavalier King Charles"
L12,6/2/2022,13:40:00,82,2,11541,21498,,Senior Exam,PUG
19,6/2/2022,13:50:00,83,2,19591,25645,,Sick,COCKER SPANIEL
6,6/2/2022,13:50:00,83,2,19565,8016,,Preventative Care Exam,CAVALIER KING CHARLES SPANIEL
TK,6/2/2022,14:00:00,84,1,11650,19777,,TNT,Pitbull Mix
19,6/2/2022,14:10:00,85,2,1639,27985,,Preventative Care Exam,"Retriever, Golden"
4,6/2/2022,14:10:00,85,2,21872,26443,,Sick,"Blue Heeler, Australian Mix"
6,6/2/2022,14:10:00,85,2,2531,21676,,Preventative Care Exam,Retriever
TK,6/2/2022,14:10:00,85,1,11650,26179,,TNT,Mastiff Mix
19,6/2/2022,14:30:00,87,3,6552,28384,19,Recheck,BORDER COLLIE
4,6/2/2022,14:30:00,87,2,11391,19291,,Sick,Sheepdog Mix
6,6/2/2022,14:30:00,87,2,21113,21113-1,,Euthanasia,Domestic Shorthair
TK,6/2/2022,14:40:00,88,1,11905,20221,,Technician Appointment,LABRADOR RETRIEVER
4,6/2/2022,14:50:00,89,2,21794,26406,4,Sick,PUG
6,6/2/2022,14:50:00,89,3,12398,24300,,Not Wellness,Shepherd Mix
4,6/2/2022,15:10:00,91,2,12433,23018,,Sick,Husky Mix
TK,6/2/2022,15:10:00,91,1,21794,26405,,Technician Appointment,PUG
6,6/2/2022,15:20:00,92,2,11099,14995,6,Senior Exam,Himalayan
TK,6/2/2022,15:20:00,92,1,9899,16357,,Technician Appointment,"Retriever, Labrador Mix"
4,6/2/2022,15:30:00,93,1,20413,20413-1,4,Senior Exam,Poodle Mix
4,6/2/2022,15:40:00,94,1,9756,6894,,Sick,"Retriever, Labrador"
6,6/2/2022,15:40:00,94,2,20256,20256-1,,Sick,Domestic Shorthair
4,6/2/2022,15:50:00,95,2,6131,28436,,New Pet,"Husky, Siberian"
19,6/2/2022,16:00:00,96,3,14163,28315,,Sick,"Retriever, Golden"
6,6/2/2022,16:00:00,96,2,12707,22973,,Senior Exam,"Bulldog, English"
TK,6/2/2022,16:10:00,97,1,10542,17648,,TNT,BELGIAN MALINOIS
6,6/2/2022,16:20:00,98,2,22621,28335,,New Client,LABRADOR RETRIEVER
19,6/2/2022,16:30:00,99,3,10293,22249,,Sick,Domestic Shorthair
6,6/2/2022,16:40:00,100,2,18527,25317,,Sick,"Retriever, Golden Mix"
19,6/2/2022,17:00:00,102,2,12462,23566,,Sick,Chihuahua Mix
6,6/2/2022,17:00:00,102,2,22654,28412,,New Client,Great Dane
19,6/2/2022,17:20:00,104,3,12719,21642,,Recheck,Maltese Mix
6,6/2/2022,17:20:00,104,1,21396,26898,,Suture Removal,LABRADOR RETRIEVER
6,6/2/2022,17:30:00,105,2,2925,11226,6,Preventative Care Exam,"Shorthair, American"
19,6/2/2022,17:50:00,107,2,5418,5418-1,,Recheck,Domestic Shorthair
6,6/2/2022,17:50:00,107,1,2925,4635,6,Senior Exam,Domestic Shorthair
TK,6/2/2022,17:50:00,107,1,22001,27284,,Technician Appointment,Chihuahua
19,6/2/2022,18:10:00,109,1,4371,14209,,Euthanasia,DSH
TK,6/2/2022,18:10:00,109,1,19923,25732,,Technician Appointment,Domestic Shorthair
19,6/2/2022,18:20:00,110,2,7245,11327,,Emergency,GERMAN SHEPHERD
19,6/2/2022,18:50:00,113,2,4681,22796,,Sick,SIBERIAN HUSKY
TK,6/2/2022,18:50:00,113,1,22506,28013,,Technician Appointment,"Coonhound, Bluetick"
19,6/2/2022,19:10:00,115,2,7977,14790,,Preventative Care Exam,Domestic Shorthair
19,6/3/2022,7:30:00,45,1,2692,4270,,Lab Work,Domestic Shorthair
16,6/3/2022,8:30:00,51,2,9694,16658,,Preventative Care Exam,Aussiedoodle
6,6/3/2022,8:30:00,51,2,2289,21850,,Technician Appointment,Shih-poo
L19,6/3/2022,8:30:00,51,1,22669,28455,,New Client,COCK-APOO
TK,6/3/2022,8:30:00,51,1,80,1616,,Technician Appointment,MINIATURE SCHNAUZER
4,6/3/2022,8:40:00,52,1,14341,27942,,Surgery,Ragdoll
L19,6/3/2022,8:40:00,52,1,22669,28452,,New Client,COCK-APOO
TK,6/3/2022,8:40:00,52,1,2289,21850,,Technician Appointment,Shih-poo
16,6/3/2022,8:50:00,53,1,9694,15932,,Preventative Care Exam,Aussiedoodle
4,6/3/2022,8:50:00,53,1,14341,9240,,Surgery,Ragdoll
6,6/3/2022,8:50:00,53,2,8619,8619-2,,Sick,Siamese
L19,6/3/2022,8:50:00,53,1,22669,28453,,New Client,COCK-APOO
16,6/3/2022,9:00:00,54,2,1519,2479,,Sick,Domestic Shorthair
4,6/3/2022,9:00:00,54,1,14341,27933,,Surgery,Ragdoll
L19,6/3/2022,9:00:00,54,3,22669,28454,,New Client,COCK-APOO
TK,6/3/2022,9:00:00,54,1,9884,16334,,Technician Appointment,WEST HIGHLAND WHITE TERRIER
4,6/3/2022,9:10:00,55,1,14341,27934,,Surgery,Ragdoll
6,6/3/2022,9:10:00,55,2,10632,17830,,Sick,Terrier
TK,6/3/2022,9:10:00,55,1,1823,18657,,Technician Appointment,LABRADOR RETRIEVER
16,6/3/2022,9:20:00,56,2,11679,19817,,Preventative Care Exam,Retriever Mixed
4,6/3/2022,9:20:00,56,1,14341,10206,,Surgery,Ragdoll
4,6/3/2022,9:30:00,57,1,14341,27947,,Short Procedure,Ragdoll
6,6/3/2022,9:30:00,57,2,10711,18014,,Senior Exam,BASSET HOUND
L19,6/3/2022,9:30:00,57,3,4608,4608-2,,Sick,Poodle Mix
16,6/3/2022,9:40:00,58,2,16109,24344,,Sick,"Goldendoodle, mini"
4,6/3/2022,9:40:00,58,1,14341,27946,,Short Procedure,Ragdoll
4,6/3/2022,9:50:00,59,1,14341,27949,,Short Procedure,Ragdoll
6,6/3/2022,9:50:00,59,2,854,1357,,Preventative Care Exam,"Spaniel, Cavalier King Charles"
TK,6/3/2022,9:50:00,59,1,11019,27616,,TNT,Domestic Shorthair
16,6/3/2022,10:00:00,60,2,17388,24896,,Sick,Greyhound
4,6/3/2022,10:00:00,60,1,21479,26280,,Surgery,Cavapoo
L19,6/3/2022,10:00:00,60,2,8794,14274,,Senior Exam,Domestic Longhair
TK,6/3/2022,10:00:00,60,1,16874,24655,,TNT,MINIATURE PINSCHER
4,6/3/2022,10:10:00,61,1,9731,16010,,Surgery,LABRADOR RETRIEVER
6,6/3/2022,10:10:00,61,2,20435,11360,,Sick,"Pug, Chinese"
16,6/3/2022,10:20:00,62,2,6809,11419,,Recheck,COCK-APOO
4,6/3/2022,10:20:00,62,1,11384,6919,,Dental,Domestic Shorthair
L19,6/3/2022,10:20:00,62,3,3019,L5516,,Recheck,Husky
6,6/3/2022,10:30:00,63,2,4667,12933,,Preventative Care Exam,"Retriever, Labrador"
16,6/3/2022,10:50:00,65,1,12726,21651,,Emergency,Havanese Mix
6,6/3/2022,10:50:00,65,2,19498,19498-1,,Sick,Shih Tzu
L19,6/3/2022,10:50:00,65,2,14783,23798,,Preventative Care Exam,Domestic Shorthair
M11,6/3/2022,10:50:00,65,1,14913,23853,,TNT,Boxer Mix
16,6/3/2022,11:00:00,66,2,9023,14746,,Sick,Goldendoodle
M11,6/3/2022,11:00:00,66,1,12768,28309,,Technician Appointment,Pointer Mix
6,6/3/2022,11:10:00,67,2,10941,18452,,Senior Exam,Schnoodle
L19,6/3/2022,11:10:00,67,2,8363,23217,,Exotic Exam,American
16,6/3/2022,11:20:00,68,2,17779,11116,,Preventative Care Exam,Domestic Mediumhair
TK,6/3/2022,11:20:00,68,1,8997,14647,,Technician Appointment,YORKSHIRE TERRIER
M11,6/3/2022,11:30:00,69,2,3212,5100,,Sick,Domestic Shorthair
16,6/3/2022,11:40:00,70,2,5707,10957,,Exotic Exam,"Teddy, Satin"
M11,6/3/2022,11:50:00,71,2,9647,23102,,Preventative Care Exam,"Retriever, Labrador Mix"
16,6/3/2022,12:00:00,72,2,9450,28439,,New Pet,Retriever Mixed
M11,6/3/2022,12:10:00,73,2,4891,28001,,Sick,LABRADOR RETRIEVER
6,6/3/2022,12:40:00,76,2,1081,28082,,New Pet,Domestic Shorthair
M11,6/3/2022,12:40:00,76,2,4721,3945,,Sick,"Poodle, Miniature"
6,6/3/2022,13:00:00,78,2,6613,25370,,Sick,"Terrier, Jack Russell"
M11,6/3/2022,13:00:00,78,2,9671,23104,,Sick,Mastiff
6,6/3/2022,13:20:00,80,2,3439,28505,6,New Pet,PUG
16,6/3/2022,13:30:00,81,2,22683,28511,,New Client,"Corgi, Pembroke Welsh"
L19,6/3/2022,13:30:00,81,1,12107,28502,,Exotic Exam,Other Rat
6,6/3/2022,13:40:00,82,1,14546,7548,,Recheck,Retriever Mixed
L19,6/3/2022,13:40:00,82,1,12107,28503,,Exotic Exam,Other Rat
16,6/3/2022,13:50:00,83,2,6975,28592,,New Pet,Domestic
6,6/3/2022,13:50:00,83,1,2193,12667,,Emergency,Dachshund
L19,6/3/2022,13:50:00,83,1,12107,28504,,Exotic Exam,Other Rat
6,6/3/2022,14:00:00,84,2,21469,5211,,Preventative Care Exam,Chihuahua Mix
L19,6/3/2022,14:00:00,84,2,7879,14861,,Euthanasia,Domestic Mediumhair
TK,6/3/2022,14:00:00,84,1,9504,15626,,Technician Appointment,Coton de Tulear
16,6/3/2022,14:10:00,85,2,21963,26670,16,Recheck,"Goldendoodle, mini"
TK,6/3/2022,14:10:00,85,1,7737,7737-3,11,Lab Work,Keeshond
6,6/3/2022,14:20:00,86,2,13170,22553,,Sick,"Terrier, Boston"
L19,6/3/2022,14:20:00,86,2,L7460,L6606,,Senior Exam,Boxer Mix
16,6/3/2022,14:30:00,87,2,7483,7483-1,,Sick,"Retriever, Labrador"
6,6/3/2022,14:40:00,88,2,21759,12227,,Preventative Care Exam,Domestic Shorthair
L19,6/3/2022,14:40:00,88,2,13279,22738,,Sick,GOLDEN RETRIEVER
16,6/3/2022,14:50:00,89,2,7221,12775,,Recheck,"Corgi, Welsh Mix"
TK,6/3/2022,14:50:00,89,1,20685,27189,,Technician Appointment,Domestic Shorthair
6,6/3/2022,15:00:00,90,2,7960,12661,,Sick,Domestic Longhair
L19,6/3/2022,15:00:00,90,1,5418,5418-1,,Technician Appointment,Domestic Shorthair
M11,6/3/2022,15:00:00,90,1,6916,23701,,Technician Appointment,Chihuahua Mix
16,6/3/2022,15:10:00,91,3,18852,18852-1,,Senior Exam,Pomeranian Mix
L19,6/3/2022,15:10:00,91,2,16539,18821,,Preventative Care Exam,"Collie, Border Mix"
M11,6/3/2022,15:10:00,91,1,16023,22996,,Technician Appointment,Domestic Shorthair
6,6/3/2022,15:20:00,92,2,7061,11006,,Preventative Care Exam,Domestic Shorthair
TK,6/3/2022,15:20:00,92,1,5728,8789,,Technician Appointment,"Pug, Chinese Mixed"
L19,6/3/2022,15:30:00,93,2,11412,19319,,Preventative Care Exam,"Goldendoodle, mini"
M11,6/3/2022,15:30:00,93,2,22670,28456,,New Client,DSH
6,6/3/2022,15:40:00,94,2,16668,21203,,Sick,Vizsla
L19,6/3/2022,15:50:00,95,3,6124,L7448,,Sick,Domestic Shorthair
M11,6/3/2022,15:50:00,95,1,17689,17689-1,,Sick,Terrier Mix
16,6/3/2022,16:00:00,96,2,15181,23983,,Preventative Care Exam,Labradoodle
6,6/3/2022,16:00:00,96,2,14038,26404,,Recheck,BLUE HEELER
M11,6/3/2022,16:00:00,96,1,13804,23252,,Technician Appointment,"Goldendoodle, mini"
TK,6/3/2022,16:00:00,96,1,22497,27999,,Technician Appointment,Corgi
M11,6/3/2022,16:10:00,97,2,3466,5651,11,Recheck,Domestic Mediumhair
16,6/3/2022,16:20:00,98,2,11594,19672,,Recheck,Domestic Longhair
6,6/3/2022,16:20:00,98,2,11411,19609,,Sick,"Retriever, Labrador"
L19,6/3/2022,16:20:00,98,2,14273,23495,19,Consultation,"Poodle, Miniature"
M11,6/3/2022,16:30:00,99,2,11977,20333,,Sick,Domestic Shorthair
TK,6/3/2022,16:30:00,99,1,22515,28029,,Technician Appointment,LABRADOR RETRIEVER
16,6/3/2022,16:40:00,100,2,1104,1794,,Recheck,"Poodle, Toy"
6,6/3/2022,16:40:00,100,2,22666,28448,,New Client,American Bully
L19,6/3/2022,16:40:00,100,2,L6661,L6066,,Sick,Shih Tzu
TK,6/3/2022,16:50:00,101,1,1620,2637,,Lab Work,BOSTON TERRIER
16,6/3/2022,17:00:00,102,2,5813,9073,,Sick,"Terrier, Yorkshire Mix"
6,6/3/2022,17:00:00,102,2,3208,22441,,Sick,Aussiedoodle
L19,6/3/2022,17:00:00,102,3,L3419,26800,,Sick,"Dachshund, Miniature"
M11,6/3/2022,17:10:00,103,2,19731,13179,,Preventative Care Exam,Pitbull Mix
16,6/3/2022,17:20:00,104,2,2975,23939,,Preventative Care Exam,Shih-poo
6,6/3/2022,17:20:00,104,2,317,16053,,Sick,Ragdoll
11,6/4/2022,8:30:00,51,2,L2570,L5510,,Sick,Domestic Shorthair
11,6/4/2022,8:50:00,53,1,18093,25186,,Technician Appointment,Pitbull
M6,6/4/2022,8:50:00,53,2,11628,25218,,Preventative Care Exam,"Coonhound, Bluetick"
11,6/4/2022,9:00:00,54,1,21888,26518,,Sick,Bernadoodle- Bernese and Poodl
11,6/4/2022,9:10:00,55,2,8604,13939,11,Recheck,DSH
11,6/4/2022,9:30:00,57,2,466,9506,,Preventative Care Exam,Domestic Shorthair
M6,6/4/2022,9:30:00,57,1,12927,21968,,Technician Appointment,Retriever Mixed
M6,6/4/2022,9:40:00,58,1,12927,21967,,Technician Appointment,Vizsla
11,6/4/2022,9:50:00,59,1,317,23218,,Technician Appointment,"Poodle, Standard"
M6,6/4/2022,9:50:00,59,2,22218,27352,,Sick,Pitbull Mix
11,6/4/2022,10:00:00,60,2,17847,25071,,Recheck,Mixed
M6,6/4/2022,10:10:00,61,3,16143,5134,,Recheck,"Shepherd, German"
11,6/4/2022,10:20:00,62,2,5425,11469,,Sick,Bullmastiff
11,6/4/2022,10:40:00,64,2,12467,21094,,Preventative Care Exam,Papillon Mix
M6,6/4/2022,10:40:00,64,1,22510,28022,,Technician Appointment,Shiba Inu
M6,6/4/2022,10:50:00,65,2,9342,15311,,Sick,Greyhound
11,6/4/2022,11:00:00,66,2,2925,4634,,Euthanasia,Domestic Shorthair
M6,6/4/2022,11:10:00,67,2,18420,18420-1,,Senior Exam,"Terrier, Yorkshire"
11,6/4/2022,11:20:00,68,2,1624,20584,,Sick,Feist
11,6/4/2022,11:40:00,70,2,22636,28368,,New Client,Pitbull
11,6/4/2022,12:00:00,72,2,20494,7980,,Preventative Care Exam,Chihuahua Mix
11,6/4/2022,12:20:00,74,1,20494,20494-1,,Senior Exam,Persian
11,6/4/2022,12:30:00,75,1,4496,17021,,Technician Appointment,Domestic Shorthair
11,6/4/2022,12:40:00,76,1,5787,17045,,Emergency,GERMAN SHEPHERD
